芻	シュウ	60%
舜	シュン	100%
离	リ	100%
科	カ	100%
稜	ロウ	100%
窒	チツ	100%
躬	キュウ	100%
躬	キョウ	100%
羔	コウ	67%
耑	タン	100%
筑	チク	100%
答	トウ	100%
算	サン	100%
逢	ホウ	100%
縢	トウ	100%
龠	ヤク	100%
離	リ	100%
粥	イク	100%
粥	シュク	100%
量	リョウ	100%
約	ヤク	100%
絹	ケン	100%
忩	ソウ	100%
彔	ロク	100%
致	チ	100%
丰	ホウ	100%
頡	ケツ	100%
頡	ケチ	50%
羅	ラ	100%
翁	オウ	50%
聚	シュウ	100%
要	ヨウ	100%
臾	ユ	100%
退	タイ	100%
鬲	カク	50%
雪	セツ	50%
貳	ジ	100%
貳	ニ	100%
萃	スイ	100%
蔵	ゾウ	100%
藏	ゾウ	100%
臧	ソウ	100%
臧	ゾウ	50%
芒	ボウ	100%
莽	ボウ	100%
莽	モウ	100%
部	ブ	100%
蔑	ベツ	100%
陰	イン	100%
路	ロ	100%
蕩	トウ	100%
預	ヨ	100%
雉	チ	100%
貌	バク	100%
藺	リン	100%
蚤	ソウ	100%
親	シン	100%
迷	メイ	100%
遣	ケン	50%
贊	サン	100%
豚	トン	100%
質	チ	100%
逮	タイ	100%
遷	セン	100%
夅	コウ	100%
夅	ゴ	100%
坴	リク	50%
坴	ロク	50%
雇	コ	100%
須	シュ	100%
須	ス	100%
香	キョウ	50%
龜	キュウ	50%
